Comment,Designator,Footprint,LCSC,Quantity
24MHz,Y1,CRYSTAL-SMD_4P-L2.0-W1.6-BL,C37635325,1
6.8p F,C12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1679,1
6.8pF,C13,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1679,1
Battery_Cell,BT1,BATTERY-SMD_18650-1S-L77.1-W20.7-1,C7525438,1
Conn_1x4,"J1,J2",CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN,C157926,2
Conn_1x6,"J3,J4",CONN-TH_6P-P2.00_S6B-PH-K-S-LF-SN,C157920,2
ESC_Protection_USBLC6-2SC6,U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,1
LDO-AMS1117-3.3,LDO1,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,C347222,1
LDO_TPS7A0228PDBVR,U8,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,C5220176,1
P_MOSFET_AO3407A,U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C15155,1
STM32G474RETx,U5,LQFP-64_10x10mm_P0.5mm,C521608,1
USBC_16PIN,U3,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
USR_BTN,S2,pushbutton_EVQPUC02K,C79174,1
USR_WAKEUP,S1,pushbutton_EVQPUC02K,C79174,1
sd_card_slot,U6,TF-SMD_TF-CARD-H1.8,C7529389,1
SCD41-D-R2,IC1,SCD41DR2,,1
SWITCH_TPS22917DBVR,IC3,SOT95P280X145-6N,,1
100n F,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k R,R4,R_0805_2012Metric,,1
1u F,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
20K R,R2,R_0805_2012Metric,,1
10u F,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n F,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Jumper,JP1,PinHeader_1x03_P2.54mm_Vertical,,1
~,U7,MicroCrystal_C7_SON-8_1.5x3.2mm_P0.9mm,,1
100n F,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
2.2u F,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
480 R,R10,R_0805_2012Metric,,1
100n F,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u F,C20,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
47k R,R8,R_0805_2012Metric,,1
2.2u F,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
22u F,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
LED,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
SWITCH_TPS22917DBVR,IC2,SOT95P280X145-6N,,1
100n F,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u F,C17,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
47k R,R7,R_0805_2012Metric,,1
480 R,R14,R_0805_2012Metric,,1
10k R,R5,R_0805_2012Metric,,1
30k R,R3,R_0805_2012Metric,,1
5k R,R15,R_0805_2012Metric,,1
200p F,C18,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
47k R,R9,R_0805_2012Metric,,1
100n F,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
2k R,R1,R_0805_2012Metric,,1
100n F,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k R,R13,R_0805_2012Metric,,1
200p F,C16,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n F,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
50k R,R11,R_0805_2012Metric,,1
47k R,R6,R_0805_2012Metric,,1
100n F,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10k R,R12,R_0805_2012Metric,,1
TestPoint,TP8,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP7,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP6,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP5,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP4,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP3,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP2,PinHeader_1x01_P2.54mm_Vertical,,1
TestPoint,TP1,PinHeader_1x01_P2.54mm_Vertical,,1
5k R,R16,R_0805_2012Metric,,1
LED,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
